Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Pan2021,experimental,-6.15,817.0,0.1421366060209239,0.16,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,615.0,0.1471933066294043,1.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-4.15,817.0,0.1422620274867168,0.34,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,615.0,0.1473813195306452,2.09,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-2.15,817.0,0.1423879909704114,0.46,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,11.85,615.0,0.1476339576558677,7.07,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,817.0,0.1425144987643392,0.66,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,15.85,615.0,0.1478888462678223,8.11,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,3.35,817.0,0.1427372041005685,1.07,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,20.85,428.0,0.8324513291,48.77,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,4.85,817.0,0.1428331647901122,1.3,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,18.85,428.0,0.8316829212,46.74,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,6.85,817.0,0.1429615959469501,1.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,15.85,428.0,0.8301503532,44.42,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,9.85,817.0,0.1431552837114079,2.22,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,11.85,428.0,0.828623423,41.84,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,14.35,817.0,0.1434481736265774,2.89,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,428.0,0.8278620625,40.68,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,21.85,817.0,0.173,2.0,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,6.85,428.0,0.8263435309,38.36,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,13.85,608.0,0.8006429598,39.18,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,4.85,428.0,0.8255863523,37.02,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,9.85,608.0,0.799222556,35.26,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,1.85,428.0,0.82483056,34.87,"Pan2021, molality computed from reported density via mass balance",,False,
