Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
NaCl,45.0,0.000104,1.0000000036628537e-16,0.0001040000003809368,0.0001040000003809368,1.0000000036628537e-16,1.0000000036628563e-16,1.0000000036628537e-16,1.0000000036628537e-16,1.0000000036628537e-16,0.000104203311547505,0.000104
NaCl,70.0,0.000104,1.0000000073352321e-16,0.00010400000076286413,0.00010400000076286413,1.0000000073352321e-16,1.0000000073352336e-16,1.0000000073352321e-16,1.0000000073352321e-16,1.0000000073352321e-16,0.00010440715174375911,0.000104
NaCl,90.0,0.000104,1.0000000114579161e-16,0.00010400000119162326,0.00010400000119162326,1.0000000114579161e-16,1.0000000114579184e-16,1.0000000114579161e-16,1.0000000114579161e-16,1.0000000114579161e-16,0.00010463598676354735,0.000104
NaCl,5.0,0.00099,1.0000000008044233e-16,0.000990000000796379,0.000990000000796379,1.0000000008044233e-16,1.0000000008044238e-16,1.0000000008044233e-16,1.0000000008044233e-16,1.0000000008044233e-16,0.0009900446512866295,0.00099
NaCl,10.0,0.00099,1.0000000010108202e-16,0.0009900000010007119,0.0009900000010007119,1.0000000010108202e-16,1.0000000010108206e-16,1.0000000010108202e-16,1.0000000010108202e-16,1.0000000010108202e-16,0.00099005610781459,0.00099
NaCl,25.0,0.00099,1.000000001876541e-16,0.0009900000018577756,0.0009900000018577756,1.000000001876541e-16,1.0000000018765435e-16,1.000000001876541e-16,1.000000001876541e-16,1.000000001876541e-16,0.0009901041615453547,0.00099
NaCl,35.0,0.00099,1.0000000026988944e-16,0.0009900000026719054,0.0009900000026719054,1.0000000026988944e-16,1.0000000026988954e-16,1.0000000026988944e-16,1.0000000026988944e-16,1.0000000026988944e-16,0.0009901498080986846,0.00099
NaCl,45.0,0.00099,1.0000000037511741e-16,0.0009900000037136622,0.0009900000037136622,1.0000000037511741e-16,1.0000000037511764e-16,1.0000000037511741e-16,1.0000000037511741e-16,1.0000000037511741e-16,0.000990208217191397,0.00099
NaCl,70.0,0.00099,1.0000000075216032e-16,0.0009900000074463873,0.0009900000074463873,1.0000000075216032e-16,1.0000000075216047e-16,1.0000000075216032e-16,1.0000000075216032e-16,1.0000000075216032e-16,0.0009904175031897105,0.00099
NaCl,90.0,0.00099,1.0000000117629383e-16,0.0009900000116453088,0.0009900000116453088,1.0000000117629383e-16,1.0000000117629397e-16,1.0000000117629383e-16,1.0000000117629383e-16,1.0000000117629383e-16,0.0009906529278455984,0.00099
NaCl,5.0,0.01,1.0000000008552476e-16,0.010000000008552477,0.010000000008552477,1.0000000008552476e-16,1.0000000008552487e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,0.010000047480111211,0.01
NaCl,10.0,0.01,1.0000000010751353e-16,0.010000000010751353,0.010000000010751353,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,0.010000059687444648,0.01
NaCl,25.0,0.01,1.0000000019987589e-16,0.010000000019987588,0.010000000019987588,1.0000000019987589e-16,1.0000000019987613e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,0.010000110963525372,0.01
NaCl,35.0,0.01,1.0000000028777461e-16,0.010000000028777462,0.010000000028777462,1.0000000028777461e-16,1.0000000028777485e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,0.010000159761575797,0.01
NaCl,45.0,0.01,1.0000000040044391e-16,0.010000000040044392,0.010000000040044392,1.0000000040044391e-16,1.0000000040044395e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,0.010000222311315433,0.01
NaCl,70.0,0.01,1.0000000080564852e-16,0.010000000080564854,0.010000000080564854,1.0000000080564852e-16,1.0000000080564866e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,0.010000447265578825,0.01
NaCl,90.0,0.01,1.000000012639197e-16,0.010000000126391968,0.010000000126391968,1.000000012639197e-16,1.0000000126391993e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,0.01000070168039446,0.01
NaCl,5.0,0.1,1.000000000973093e-16,0.1000000000973093,0.1000000000973093,1.000000000973093e-16,1.0000000009730938e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,0.10000005411001879,0.1
NaCl,10.0,0.1,1.0000000012242633e-16,0.10000000012242635,0.10000000012242635,1.0000000012242633e-16,1.0000000012242659e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,0.10000006807666223,0.1
NaCl,25.0,0.1,1.0000000022822245e-16,0.10000000022822246,0.10000000022822246,1.0000000022822245e-16,1.0000000022822254e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,0.10000012690588105,0.1
NaCl,35.0,0.1,1.0000000032927068e-16,0.10000000032927067,0.10000000032927067,1.0000000032927068e-16,1.0000000032927092e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,0.10000018309496642,0.1
NaCl,45.0,0.1,1.0000000045923176e-16,0.10000000045923177,0.10000000045923177,1.0000000045923176e-16,1.0000000045923187e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,0.10000025536141821,0.1
NaCl,70.0,0.1,1.0000000093000598e-16,0.10000000093000598,0.10000000093000598,1.0000000093000598e-16,1.0000000093000613e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,0.10000051714113924,0.1
NaCl,90.0,0.1,1.0000000146801051e-16,0.10000000146801052,0.10000000146801052,1.0000000146801051e-16,1.0000000146801066e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,0.10000081630511562,0.1
NaCl,5.0,0.5,1.0000000010986055e-16,0.5000000005493028,0.5000000005493028,1.0000000010986055e-16,1.000000001098606e-16,1.0000000010986055e-16,1.0000000010986055e-16,1.0000000010986055e-16,0.5000000615287447,0.5
NaCl,10.0,0.5,1.0000000013831199e-16,0.5000000006915599,0.5000000006915599,1.0000000013831199e-16,1.0000000013831203e-16,1.0000000013831199e-16,1.0000000013831199e-16,1.0000000013831199e-16,0.5000000774633092,0.5
NaCl,25.0,0.5,1.0000000025844326e-16,0.5000000012922162,0.5000000012922162,1.0000000025844326e-16,1.0000000025844337e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,0.5000001447442991,0.5
NaCl,35.0,0.5,1.0000000037354578e-16,0.5000000018677289,0.5000000018677289,1.0000000037354578e-16,1.0000000037354604e-16,1.0000000037354578e-16,1.0000000037354578e-16,1.0000000037354578e-16,0.5000002092088601,0.5
NaCl,45.0,0.5,1.0000000052201778e-16,0.5000000026100889,0.5000000026100889,1.0000000052201778e-16,1.0000000052201786e-16,1.0000000052201778e-16,1.0000000052201778e-16,1.0000000052201778e-16,0.5000002923624185,0.5
NaCl,70.0,0.5,1.0000000106323669e-16,0.5000000053161835,0.5000000053161835,1.0000000106323669e-16,1.0000000106323685e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,0.5000005954786432,0.5
